name,rating,price,screen size,resolution,refresh rate,response time (G2G),panel type,aspect ratio,link
"DoubleSight DS-1700-R 17.0"" 2560 x 1024 75 Hz Monitor",,,"17""",2560 x 1024,75 Hz,8 ms,N/A,5:2,https://www.amazon.com/s?k=DoubleSight+DS-1700-R+17.0%22+2560+x+1024+75+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG IPS237L-BN 23.0"" 1920 x 1080 Monitor",4.5,$380.01,"23""",1920 x 1080,N/A,5 ms,IPS,16:9,https://www.amazon.com/dp/B008WAMTZY?tag=bgfg-pc-builder-us-20
"LG IPS277L-BN 27.0"" 1920 x 1080 Monitor",,,"27""",1920 x 1080,N/A,5 ms,IPS,16:9,https://www.amazon.com/s?k=LG+IPS277L-BN+27.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S24A850DW 24.0"" 1920 x 1080 Monitor",,,"24""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=Samsung+S24A850DW+24.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"V7 LED215W2-DVI 21.5"" 1920 x 1080 Monitor",,,"21.5""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=V7+LED215W2-DVI+21.5%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"ViewSonic VA2037m-LED 20.0"" 1600 x 900 Monitor",,,"20""",1600 x 900,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=ViewSonic+VA2037m-LED+20.0%22+1600+x+900+Monitor&tag=bgfg-pc-builder-us-20
"ViewSonic VA926-LED 19.0"" 1280 x 1024 Monitor",,,"19""",1280 x 1024,N/A,5 ms,N/A,5:4,https://www.amazon.com/s?k=ViewSonic+VA926-LED+19.0%22+1280+x+1024+Monitor&tag=bgfg-pc-builder-us-20
"ViewSonic VG2437mc-LED 24.0"" 1920 x 1080 Monitor",,,"24""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=ViewSonic+VG2437mc-LED+24.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"ViewSonic VG732m-LED 17.0"" 1280 x 1024 Monitor",,$225.00,"17""",1280 x 1024,N/A,N/A,N/A,5:4,https://www.amazon.com/dp/B009F1K9MY?tag=bgfg-pc-builder-us-20
"Dell U3014 30.0"" 2560 x 1600 60 Hz Monitor",3.7,,"30""",2560 x 1600,60 Hz,6 ms,IPS,16:10,https://www.amazon.com/s?k=Dell+U3014+30.0%22+2560+x+1600+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Asus PA249Q 24.0"" 1920 x 1200 Monitor",5.0,,"24""",1920 x 1200,N/A,6 ms,IPS,16:10,https://www.amazon.com/s?k=Asus+PA249Q+24.0%22+1920+x+1200+Monitor&tag=bgfg-pc-builder-us-20
"Asus VS207T-P 19.5"" 1600 x 900 Monitor",2.0,$94.00,"19.5""",1600 x 900,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=Asus+VS207T-P+19.5%22+1600+x+900+Monitor&tag=bgfg-pc-builder-us-20
"Acer G185HVBb 18.5"" 1366 x 768 60 Hz Monitor",,,"18.5""",1366 x 768,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=Acer+G185HVBb+18.5%22+1366+x+768+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer V196WLbd 19.0"" 1440 x 900 60 Hz Monitor",,,"19""",1440 x 900,60 Hz,5 ms,TN,16:10,https://www.amazon.com/s?k=Acer+V196WLbd+19.0%22+1440+x+900+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer V196WLbm 19.0"" 1440 x 900 60 Hz Monitor",,,"19""",1440 x 900,60 Hz,5 ms,TN,16:10,https://www.amazon.com/s?k=Acer+V196WLbm+19.0%22+1440+x+900+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer V226WLbmd 22.0"" 1680 x 1050 60 Hz Monitor",,$101.36,"22""",1680 x 1050,60 Hz,5 ms,TN,16:10,https://www.amazon.com/dp/B00BWBELWO?tag=bgfg-pc-builder-us-20
"Acer B243PWLAJbmdrz 24.0"" 1920 x 1200 60 Hz Monitor",5.0,,"24""",1920 x 1200,60 Hz,14 ms,IPS,16:10,https://www.amazon.com/s?k=Acer+B243PWLAJbmdrz+24.0%22+1920+x+1200+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer V246HLbmdp 24.0"" 1920 x 1080 60 Hz Monitor",4.0,,"24""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=Acer+V246HLbmdp+24.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer UM.HB6AA.001 27.0"" 1920 x 1080 60 Hz Monitor",,,"27""",1920 x 1080,60 Hz,6 ms,IPS,16:9,https://www.amazon.com/s?k=Acer+UM.HB6AA.001+27.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer B233HLBJObmdh 23.0"" 1920 x 1080 60 Hz Monitor",,,"23""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=Acer+B233HLBJObmdh+23.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer B226HQLAymdr 21.5"" 1920 x 1080 60 Hz Monitor",,,"21.5""",1920 x 1080,60 Hz,8 ms,TN,16:9,https://www.amazon.com/s?k=Acer+B226HQLAymdr+21.5%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"AOC E960SRDA 19.0"" 1280 x 1024 60 Hz Monitor",,,"19""",1280 x 1024,60 Hz,5 ms,TN,5:4,https://www.amazon.com/s?k=AOC+E960SRDA+19.0%22+1280+x+1024+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"AOC i2769Vm 27.0"" 1920 x 1080 60 Hz Monitor",4.5,,"27""",1920 x 1080,60 Hz,5 ms,IPS,16:9,https://www.amazon.com/s?k=AOC+i2769Vm+27.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"ViewSonic VA2703-LED 27.0"" 1920 x 1080 Monitor",5.0,,"27""",1920 x 1080,N/A,N/A,TN,16:9,https://www.amazon.com/s?k=ViewSonic+VA2703-LED+27.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"ViewSonic VG932m-LED 19.0"" 1280 x 1024 Monitor",,,"19""",1280 x 1024,N/A,5 ms,TN,5:4,https://www.amazon.com/s?k=ViewSonic+VG932m-LED+19.0%22+1280+x+1024+Monitor&tag=bgfg-pc-builder-us-20
"ViewSonic VX2260s-LED 22.0"" 1920 x 1080 Monitor",,,"22""",1920 x 1080,N/A,8 ms,TN,16:9,https://www.amazon.com/s?k=ViewSonic+VX2260s-LED+22.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG 24EA53V-P 23.8"" 1920 x 1080 Monitor",5.0,,"23.8""",1920 x 1080,N/A,5 ms,IPS,16:9,https://www.amazon.com/s?k=LG+24EA53V-P+23.8%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG IPS234V-PN.AEK 23.4"" 1920 x 1080 Monitor",5.0,,"23.4""",1920 x 1080,N/A,12 ms,IPS,16:9,https://www.amazon.com/s?k=LG+IPS234V-PN.AEK+23.4%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Dell E2213H 21.5"" 1920 x 1080 60 Hz Monitor",,,"21.5""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=Dell+E2213H+21.5%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Dell U2413 24.0"" 1920 x 1200 60 Hz Monitor",5.0,,"24""",1920 x 1200,60 Hz,6 ms,IPS,16:10,https://www.amazon.com/s?k=Dell+U2413+24.0%22+1920+x+1200+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"DoubleSight DS-245V2 24.0"" 1920 x 1200 75 Hz Monitor",,,"24""",1920 x 1200,75 Hz,5 ms,IPS,16:10,https://www.amazon.com/s?k=DoubleSight+DS-245V2+24.0%22+1920+x+1200+75+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer S236HLtmjj 23.0"" 1920 x 1080 60 Hz Monitor",,,"23""",1920 x 1080,60 Hz,6 ms,IPS,16:9,https://www.amazon.com/s?k=Acer+S236HLtmjj+23.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Asus VW22AT-CSM 22.0"" 1680 x 1050 Monitor",,$149.00,"22""",1680 x 1050,N/A,5 ms,TN,16:10,https://www.amazon.com/s?k=Asus+VW22AT-CSM+22.0%22+1680+x+1050+Monitor&tag=bgfg-pc-builder-us-20
"Gateway KX2153bd 21.5"" 1920 x 1080 60 Hz Monitor",,,"21.5""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=Gateway+KX2153bd+21.5%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"HP 2311gt (QJ684AA#ABA) 23.0"" 1920 x 1080 60 Hz Monitor",,,"23""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=HP+2311gt+%28QJ684AA%23ABA%29+23.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"HP C4D30AA#ABA 21.5"" 1920 x 1080 60 Hz Monitor",,,"21.5""",1920 x 1080,60 Hz,7 ms,IPS,16:9,https://www.amazon.com/s?k=HP+C4D30AA%23ABA+21.5%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"HP C9E49AA#ABA 21.5"" 1920 x 1080 Monitor",,,"21.5""",1920 x 1080,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=HP+C9E49AA%23ABA+21.5%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"HP P191 18.5"" 1366 x 768 Monitor",,,"18.5""",1366 x 768,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=HP+P191+18.5%22+1366+x+768+Monitor&tag=bgfg-pc-builder-us-20
"HP C9F26AA#ABA 20.0"" 1600 x 900 Monitor",,,"20""",1600 x 900,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=HP+C9F26AA%23ABA+20.0%22+1600+x+900+Monitor&tag=bgfg-pc-builder-us-20
"HP P201m 20.0"" 1600 x 900 Monitor",,,"20""",1600 x 900,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=HP+P201m+20.0%22+1600+x+900+Monitor&tag=bgfg-pc-builder-us-20
"HP C9V73A8#ABA 20.0"" 1600 x 900 Monitor",,,"20""",1600 x 900,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=HP+C9V73A8%23ABA+20.0%22+1600+x+900+Monitor&tag=bgfg-pc-builder-us-20
"HP C9V75A8#ABA 23.0"" 1920 x 1080 60 Hz Monitor",,,"23""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=HP+C9V75A8%23ABA+23.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"HP C9V75AA#ABA 23.0"" 1920 x 1080 60 Hz Monitor",,,"23""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=HP+C9V75AA%23ABA+23.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"HP C9V76AA#ABA 21.5"" 1920 x 1080 60 Hz Monitor",,,"21.5""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=HP+C9V76AA%23ABA+21.5%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"HP D2W67AA#ABA 19.0"" 1280 x 1024 Monitor",,$109.60,"19""",1280 x 1024,N/A,5 ms,TN,5:4,https://www.amazon.com/dp/B00CMV7FHG?tag=bgfg-pc-builder-us-20
"HP EM887AA 19.0"" 1280 x 1024 Monitor",,,"19""",1280 x 1024,N/A,5 ms,TN,5:4,https://www.amazon.com/s?k=HP+EM887AA+19.0%22+1280+x+1024+Monitor&tag=bgfg-pc-builder-us-20
"Samsung C27A650X 27.0"" 1920 x 1080 Monitor",,,"27""",1920 x 1080,N/A,8 ms,N/A,16:9,https://www.amazon.com/s?k=Samsung+C27A650X+27.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Samsung NS240 24.0"" 1920 x 1200 Monitor",,,"24""",1920 x 1200,N/A,5 ms,N/A,16:10,https://www.amazon.com/s?k=Samsung+NS240+24.0%22+1920+x+1200+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S19C200NY 18.5"" 1366 x 768 Monitor",,,"18.5""",1366 x 768,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=Samsung+S19C200NY+18.5%22+1366+x+768+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S19C450BR 19.0"" 1280 x 1024 Monitor",,,"19""",1280 x 1024,N/A,5 ms,TN,5:4,https://www.amazon.com/s?k=Samsung+S19C450BR+19.0%22+1280+x+1024+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S22C200B 21.5"" 1920 x 1080 Monitor",,$349.99,"21.5""",1920 x 1080,N/A,5 ms,TN,16:9,https://www.amazon.com/dp/B00ARJNJ2A?tag=bgfg-pc-builder-us-20
"Samsung S22C200NY 21.5"" 1920 x 1080 Monitor",,,"21.5""",1920 x 1080,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=Samsung+S22C200NY+21.5%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S22C650D 21.5"" 1920 x 1080 Monitor",,,"21.5""",1920 x 1080,N/A,5 ms,IPS,16:9,https://www.amazon.com/s?k=Samsung+S22C650D+21.5%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S23C200B 23.0"" 1920 x 1080 Monitor",5.0,,"23""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=Samsung+S23C200B+23.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S23C450D 23.0"" 1920 x 1080 60 Hz Monitor",,,"23""",1920 x 1080,60 Hz,5 ms,N/A,16:9,https://www.amazon.com/s?k=Samsung+S23C450D+23.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S24B30BL 23.6"" 1920 x 1080 Monitor",,,"23.6""",1920 x 1080,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=Samsung+S24B30BL+23.6%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S24C200BL 23.6"" 1920 x 1080 Monitor",5.0,,"23.6""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=Samsung+S24C200BL+23.6%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S24C370HL 23.6"" 1920 x 1080 Monitor",,,"23.6""",1920 x 1080,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=Samsung+S24C370HL+23.6%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S24C450DL 23.6"" 1920 x 1080 Monitor",,,"23.6""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=Samsung+S24C450DL+23.6%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S27A850T 27.0"" 2560 x 1440 Monitor",4.0,,"27""",2560 x 1440,N/A,5 ms,IPS,16:9,https://www.amazon.com/s?k=Samsung+S27A850T+27.0%22+2560+x+1440+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S27C230B 27.0"" 1920 x 1080 Monitor",,$999.99,"27""",1920 x 1080,N/A,5 ms,TN,16:9,https://www.amazon.com/dp/B00C18YQ8Q?tag=bgfg-pc-builder-us-20
"Samsung S27C450D 27.0"" 1920 x 1080 Monitor",,,"27""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=Samsung+S27C450D+27.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Samsung S27C500H 27.0"" 1920 x 1080 Monitor",,$320.61,"27""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/dp/B00C18YTC4?tag=bgfg-pc-builder-us-20
"Samsung S27C570H 27.0"" 1920 x 1080 Monitor",4.0,,"27""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=Samsung+S27C570H+27.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Hannspree HE195ABB 18.5"" 1366 x 768 Monitor",,,"18.5""",1366 x 768,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=Hannspree+HE195ABB+18.5%22+1366+x+768+Monitor&tag=bgfg-pc-builder-us-20
"Hannspree HE247DPB 23.6"" 1920 x 1080 Monitor",4.0,,"23.6""",1920 x 1080,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=Hannspree+HE247DPB+23.6%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Hannspree HS233H3B 23.0"" 1920 x 1080 120 Hz Monitor",,,"23""",1920 x 1080,120 Hz,3 ms,N/A,16:9,https://www.amazon.com/s?k=Hannspree+HS233H3B+23.0%22+1920+x+1080+120+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Hannspree HX193DPB 19.0"" 1280 x 1024 Monitor",,,"19""",1280 x 1024,N/A,5 ms,TN,5:4,https://www.amazon.com/s?k=Hannspree+HX193DPB+19.0%22+1280+x+1024+Monitor&tag=bgfg-pc-builder-us-20
"LG 19CNV42K-BL 19.0"" 1440 x 900 Monitor",5.0,,"19""",1440 x 900,N/A,5 ms,N/A,16:10,https://www.amazon.com/s?k=LG+19CNV42K-BL+19.0%22+1440+x+900+Monitor&tag=bgfg-pc-builder-us-20
"LG 22EA63T-P 21.5"" 1920 x 1080 Monitor",4.0,,"21.5""",1920 x 1080,N/A,5 ms,IPS,16:9,https://www.amazon.com/s?k=LG+22EA63T-P+21.5%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG 22EB23PY-B 22.0"" 1680 x 1050 Monitor",,,"22""",1680 x 1050,N/A,5 ms,N/A,16:10,https://www.amazon.com/s?k=LG+22EB23PY-B+22.0%22+1680+x+1050+Monitor&tag=bgfg-pc-builder-us-20
"LG 22EC33T-B 21.5"" 1920 x 1080 Monitor",3.0,,"21.5""",1920 x 1080,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=LG+22EC33T-B+21.5%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG 23CAV42K-BL 23.0"" 1920 x 1080 Monitor",,,"23""",1920 x 1080,N/A,14 ms,IPS,16:9,https://www.amazon.com/s?k=LG+23CAV42K-BL+23.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG 23EA53V-P 23.0"" 1920 x 1080 Monitor",4.7,,"23""",1920 x 1080,N/A,5 ms,IPS,16:9,https://www.amazon.com/s?k=LG+23EA53V-P+23.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG 23EA53V-P 23.0"" 1920 x 1080 Monitor",,,"23""",1920 x 1080,N/A,5 ms,IPS,16:9,https://www.amazon.com/s?k=LG+23EA53V-P+23.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG 23EN43T-B 23.0"" 1920 x 1080 60 Hz Monitor",,,"23""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=LG+23EN43T-B+23.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG 23EN43T-B 23.0"" 1920 x 1080 60 Hz Monitor",,,"23""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=LG+23EN43T-B+23.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG 24EN33TW-B 23.6"" 1920 x 1080 60 Hz Monitor",3.7,,"23.6""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=LG+24EN33TW-B+23.6%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG 24EN33VW-B 23.6"" 1920 x 1080 60 Hz Monitor",,,"23.6""",1920 x 1080,60 Hz,5 ms,N/A,16:9,https://www.amazon.com/s?k=LG+24EN33VW-B+23.6%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG 27EA63V-P 27.0"" 1920 x 1080 60 Hz Monitor",,,"27""",1920 x 1080,60 Hz,5 ms,IPS,16:9,https://www.amazon.com/s?k=LG+27EA63V-P+27.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG 27EA83-D 27.0"" 2560 x 1440 60 Hz Monitor",,,"27""",2560 x 1440,60 Hz,5 ms,IPS,16:9,https://www.amazon.com/s?k=LG+27EA83-D+27.0%22+2560+x+1440+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG 27EC33V-B 27.0"" 1920 x 1080 60 Hz Monitor",4.0,,"27""",1920 x 1080,60 Hz,5 ms,IPS,16:9,https://www.amazon.com/s?k=LG+27EC33V-B+27.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG 27EN43V-B 27.0"" 1920 x 1080 60 Hz Monitor",4.0,,"27""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=LG+27EN43V-B+27.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG 29EA93-P 29.0"" 2560 x 1080 60 Hz Monitor",5.0,,"29""",2560 x 1080,60 Hz,5 ms,IPS,21:9,https://www.amazon.com/s?k=LG+29EA93-P+29.0%22+2560+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG 29EA93-P 29.0"" 2560 x 1080 60 Hz Monitor",,,"29""",2560 x 1080,60 Hz,5 ms,IPS,21:9,https://www.amazon.com/s?k=LG+29EA93-P+29.0%22+2560+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG D2343P-BN 23.0"" 1920 x 1080 60 Hz Monitor",5.0,,"23""",1920 x 1080,60 Hz,5 ms,IPS,16:9,https://www.amazon.com/s?k=LG+D2343P-BN+23.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG D2343PB-BN 23.0"" 1920 x 1080 Monitor",4.0,,"23""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=LG+D2343PB-BN+23.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG E2211PB-BN 22.0"" 1920 x 1080 Monitor",,,"22""",1920 x 1080,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=LG+E2211PB-BN+22.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG E2411PB-BN 24.0"" 1920 x 1080 Monitor",,,"24""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=LG+E2411PB-BN+24.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG N225WU-BN 21.5"" 1920 x 1080 Monitor",,,"21.5""",1920 x 1080,N/A,5 ms,TN,16:9,https://www.amazon.com/s?k=LG+N225WU-BN+21.5%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"CTL 192LX 19.0"" 1280 x 1024 75 Hz Monitor",,,"19""",1280 x 1024,75 Hz,5 ms,N/A,5:4,https://www.amazon.com/s?k=CTL+192LX+19.0%22+1280+x+1024+75+Hz+Monitor&tag=bgfg-pc-builder-us-20
"CTL MTLP200 20.0"" 1600 x 900 Monitor",,,"20""",1600 x 900,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=CTL+MTLP200+20.0%22+1600+x+900+Monitor&tag=bgfg-pc-builder-us-20
"CTL MTLP2151 22.0"" 1920 x 1080 Monitor",,,"22""",1920 x 1080,N/A,2 ms,TN,16:9,https://www.amazon.com/s?k=CTL+MTLP2151+22.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"CTL LP2361 24.0"" 1920 x 1080 Monitor",,,"24""",1920 x 1080,N/A,2 ms,N/A,16:9,https://www.amazon.com/s?k=CTL+LP2361+24.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Acer B243PWL Kbmdrz 24.0"" 1920 x 1200 Monitor",,,"24""",1920 x 1200,N/A,14 ms,IPS,16:10,https://www.amazon.com/s?k=Acer+B243PWL+Kbmdrz+24.0%22+1920+x+1200+Monitor&tag=bgfg-pc-builder-us-20
"Planar PLL2210MW 22.0"" 1920 x 1080 Monitor",,$244.60,"22""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=Planar+PLL2210MW+22.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Asus VK228H-CSM 21.5"" 1920 x 1080 Monitor",4.5,,"21.5""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=Asus+VK228H-CSM+21.5%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"NEC LCD1990SXi 19.0"" 1280 x 1024 Monitor",5.0,,"19""",1280 x 1024,N/A,18 ms,N/A,5:4,https://www.amazon.com/s?k=NEC+LCD1990SXi+19.0%22+1280+x+1024+Monitor&tag=bgfg-pc-builder-us-20
"ViewSonic VA2223wmLED 22.0"" 1920 x 1080 75 Hz Monitor",,,"22""",1920 x 1080,75 Hz,5 ms,N/A,16:9,https://www.amazon.com/s?k=ViewSonic+VA2223wmLED+22.0%22+1920+x+1080+75+Hz+Monitor&tag=bgfg-pc-builder-us-20
"NEC LCD1990SXi-BK 19.0"" 1280 x 1024 Monitor",,,"19""",1280 x 1024,N/A,18 ms,IPS,5:4,https://www.amazon.com/s?k=NEC+LCD1990SXi-BK+19.0%22+1280+x+1024+Monitor&tag=bgfg-pc-builder-us-20
"LG E2711PY-BN 27.0"" 1920 x 1080 60 Hz Monitor",,,"27""",1920 x 1080,60 Hz,5 ms,N/A,16:9,https://www.amazon.com/s?k=LG+E2711PY-BN+27.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer B243HL DJObmdr 24.0"" 1920 x 1080 Monitor",,,"24""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=Acer+B243HL+DJObmdr+24.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"LG E1910T-BN 18.5"" 1280 x 1024 Monitor",,,"18.5""",1280 x 1024,N/A,5 ms,N/A,5:4,https://www.amazon.com/s?k=LG+E1910T-BN+18.5%22+1280+x+1024+Monitor&tag=bgfg-pc-builder-us-20
"HP L240w 24.0"" 1920 x 1200 60 Hz Monitor",,,"24""",1920 x 1200,60 Hz,5 ms,TN,16:10,https://www.amazon.com/s?k=HP+L240w+24.0%22+1920+x+1200+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"ViewSonic VA2451M-LED 24.0"" 1920 x 1080 Monitor",5.0,,"24""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=ViewSonic+VA2451M-LED+24.0%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"Lenovo LS2221 21.5"" 1920 x 1080 Monitor",,,"21.5""",1920 x 1080,N/A,5 ms,N/A,16:9,https://www.amazon.com/s?k=Lenovo+LS2221+21.5%22+1920+x+1080+Monitor&tag=bgfg-pc-builder-us-20
"HP W2371d 23.0"" 1920 x 1080 60 Hz Monitor",3.0,,"23""",1920 x 1080,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=HP+W2371d+23.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
